text	label	labelSecondary
المجتمعات غير الصحية	الإدارة_والسياسات_العامة	إنسانيات
المحاسبة البيئية	الإدارة_والسياسات_العامة	البيئة
المدرب المتميز	الإدارة_والسياسات_العامة	التعليم
المدير ذو اسلوب الدقيقة الواحدة	الإدارة_والسياسات_العامة	أطر نظرية
المدير ذو اسلوب الدقيقة الواحدة	الإدارة_والسياسات_العامة	القيادة
المراجعة الداخلية في القطاع العام	الإدارة_والسياسات_العامة	المراجعة
المرجع في العقود الإدارية في المملكة العربية السعودية	الإدارة_والسياسات_العامة	أخرى
المستودعات الحكومية	الإدارة_والسياسات_العامة	المستودعات
المعجم الاساسي في المصطلحات الادارية العربية القديمة والمعاصرة	الإدارة_والسياسات_العامة	أطر نظرية
المكتبات المتخصصة ومراكز المعلومات	الإدارة_والسياسات_العامة	مكتبات
الممارسات الخاطئة في قياس الأداء ومؤشرات الأداء الرئيسية	الإدارة_والسياسات_العامة	إدارة الأداء ومؤشرات الأداء
المنظمات	الإدارة_والسياسات_العامة	أطر نظرية
المنظمات الحديثة	الإدارة_والسياسات_العامة	أطر نظرية
المنظمات/هياكلها وعملياتها و مخرجاتها	الإدارة_والسياسات_العامة	أطر نظرية
المواءمة بين الموظف والوظيفة وأثرها في النية لترك الوظيفة	الإدارة_والسياسات_العامة	بيئة العمل
المواطن، الشريك، العميل : اعداة النظر في موقع الجمهور في الادارة العامة	الإدارة_والسياسات_العامة	خدمة العملاء
النقل العام داخل المدن الكبرى في المملكة(بحث)	الإدارة_والسياسات_العامة	النقل والمواصلات
الوباء المعلوماتي لجائحة (كوفيد 19) : دراسة استكشافية	الإدارة_والسياسات_العامة	الصحة
الوصف الببليوجرافي في الكتب	الإدارة_والسياسات_العامة	مكتبات
الوظائف القيادية في الخدمة المدنية بين الواقع والمأمول: دراسة ميدانية	الإدارة_والسياسات_العامة	القيادة
الوظائف القيادية في الخدمة المدنية بين الواقع والمأمول: دراسة ميدانية	الإدارة_والسياسات_العامة	الخدمة المدنية
مراجعة الأداء البيئى : إطار مقترح	الإدارة_والسياسات_العامة	المراجعة
مراجعة الأداء البيئى : إطار مقترح	الإدارة_والسياسات_العامة	البيئة
إجراءات السكرتارية	الإدارة_والسياسات_العامة	الإدارة المكتبية واعمال السكرتارية 
إدارة الأداء على أساس المخاطر الدمج بين الإستراتيجية وإدارة المخاطر	الإدارة_والسياسات_العامة	إدارة الأداء ومؤشرات الأداء
إدارة الأزمات : دراسة ميدانية لمدى توافر عناصر نظام إدارة الأزمات من وجهة نظر العاملين في الوظائف	الإدارة_والسياسات_العامة	إداره الأزمات والمخاطر
إدارة التشييد المتخصصة	الإدارة_والسياسات_العامة	تشييد وعمران
إدارة الجودة الشاملة في الرعاية الصحية	الإدارة_والسياسات_العامة	الصحة
إدارة الجودة الشاملة في الرعاية الصحية	الإدارة_والسياسات_العامة	الجودة
إدارة الجودة الشاملة وخدمة العملاء في القطاع الحكومي - أنموذج مقترح	الإدارة_والسياسات_العامة	خدمة العملاء
إدارة الجودة الشاملة وخدمة العملاء في القطاع الحكومي - أنموذج مقترح	الإدارة_والسياسات_العامة	الجودة
إدارة الجودة جوانب نظرية وتجارب واقعية	الإدارة_والسياسات_العامة	الجودة
إدارة الجودة في التعليم العالي	الإدارة_والسياسات_العامة	التعليم
إدارة الجودة في التعليم العالي	الإدارة_والسياسات_العامة	الجودة
إدارة الرعاية الصحية	الإدارة_والسياسات_العامة	الصحة
إدارة العلاقــات العامة	الإدارة_والسياسات_العامة	علاقات عامة
إدارة المستشفيات	الإدارة_والسياسات_العامة	الصحة
إدارة المعرفة . النظم والعمليات	الإدارة_والسياسات_العامة	إدارة المعرفة
إدارة المعرفة : نحو منظور ثقافي حضاري مدخل استشرافي فلسفي	الإدارة_والسياسات_العامة	إدارة المعرفة
إدارة المعرفة : نحو منظور ثقافي حضاري مدخل استشرافي فلسفي	الإدارة_والسياسات_العامة	أطر نظرية
إدارة المعرفة كمدخل لتعزيز الإبداع التنظيمي	الإدارة_والسياسات_العامة	إدارة المعرفة
إدارة الموارد البشرية النسائية في وزارة التعليم في المملكة العربية السعودية في ضوء التجربة الأمريكية: تصور مقترح	الإدارة_والسياسات_العامة	تمكين المرأة السعودية
إدارة الموارد البشرية النسائية في وزارة التعليم في المملكة العربية السعودية في ضوء التجربة الأمريكية: تصور مقترح	الإدارة_والسياسات_العامة	التعليم
إدارة النزاع ونجاح المشاريع الإنشائية : مراجعة للأدبيات وتطوير إطار نظرى	الإدارة_والسياسات_العامة	إدارة المشاريع
إدارة الوقت	الإدارة_والسياسات_العامة	أخرى
إدارة شـئون الموظفين (المبادي والاسس العامة والتطبيقات)	الإدارة_والسياسات_العامة	
إدارة عملية التدريب	الإدارة_والسياسات_العامة	التعليم
إدارة مشاريع التشغيل الالي في المكتبات	الإدارة_والسياسات_العامة	إدارة المشاريع
إدارة مشاريع التشغيل الالي في المكتبات	الإدارة_والسياسات_العامة	مكتبات
إدارة مشاريع التشيد	الإدارة_والسياسات_العامة	إدارة المشاريع
إدراك المديرين في الشركات الصناعية لإسترتيجية وزارة البيئة الأردنية وأثرها في الكفاءة البيئية	الإدارة_والسياسات_العامة	البيئة
إدراك المديرين في الشركات الصناعية لإسترتيجية وزارة البيئة الأردنية وأثرها في الكفاءة البيئية	الإدارة_والسياسات_العامة	إدارة الأداء ومؤشرات الأداء
إدراك أعضاء هيئة التدريس في جامعة نورة لأبعاد ثقافة الجودة والاعتماد	الإدارة_والسياسات_العامة	التعليم
إدراك أعضاء هيئة التدريس في جامعة نورة لأبعاد ثقافة الجودة والاعتماد	الإدارة_والسياسات_العامة	الجودة
إستراتيجية القيادة الديناميكية الداعمة للابتكار الاجتماعي: كمدخل لتطوير القيادات الإدارية (نموذج مقترح للمنظمات التعليمية بالمملكة العربية السعودية)	الإدارة_والسياسات_العامة	القيادة
إستراتيجية القيادة الديناميكية الداعمة للابتكار الاجتماعي: كمدخل لتطوير القيادات الإدارية (نموذج مقترح للمنظمات التعليمية بالمملكة العربية السعودية)	الإدارة_والسياسات_العامة	الإبداع والإبتكار
إستراتيجية القيادة الديناميكية الداعمة للابتكار الاجتماعي: كمدخل لتطوير القيادات الإدارية (نموذج مقترح للمنظمات التعليمية بالمملكة العربية السعودية)	الإدارة_والسياسات_العامة	التعليم
إستراتيجية تغيير ثقافة المؤسسات التربوية من قبل المديرين الجدد وأثرها على العمل الإداري	الإدارة_والسياسات_العامة	التعليم
إستراتيجية تغيير ثقافة المؤسسات التربوية من قبل المديرين الجدد وأثرها على العمل الإداري	الإدارة_والسياسات_العامة	تعاقب القيادات
إسهام الاستشارات الإدارية في تحقيق رؤية المملكة 2030 - تجربة معهد الإدارة العامة فب المملكة العربية السعودية	الإدارة_والسياسات_العامة	رؤية المملكة
إسهام الاستشارات الإدارية في تحقيق رؤية المملكة 2030 - تجربة معهد الإدارة العامة فب المملكة العربية السعودية	الإدارة_والسياسات_العامة	الاستشارات
إطلاق برامج التعليم والتدريب الإلكتروني : نموذج مقترح	الإدارة_والسياسات_العامة	التعليم
إعادة التفكير في تقديم الخدمات الحكومية	الإدارة_والسياسات_العامة	خدمة العملاء
إعادة النظر في المنطلقات التأسيسية لدوافع الخدمة العامة : حصيلة عشرين عاما من البحوث مع خطة عمل	الإدارة_والسياسات_العامة	أطر نظرية
إعادة هندسة الإدارة	الإدارة_والسياسات_العامة	الإبداع والإبتكار
إعادة هندسة الإدارة	الإدارة_والسياسات_العامة	الإدارة الإستراتيجية
إعداد واختيار وتطوير القيادات الإدارية النسائية في الأجهزة الحكومية	الإدارة_والسياسات_العامة	القيادة
إعداد واختيار وتطوير القيادات الإدارية النسائية في الأجهزة الحكومية	الإدارة_والسياسات_العامة	تمكين المرأة السعودية
إعداد واختيار وتطوير القيادات الإدارية النسائية في الأجهزة الحكومية	الإدارة_والسياسات_العامة	التطوير
أبعاد وخصائص القيادة الأخلاقية في الأجهزة الحكومية بمنطقة تبوك	الإدارة_والسياسات_العامة	القيادة
أثر استقلالية مجلس الإدارة في أداء الشركة : دليل من السعودية	الإدارة_والسياسات_العامة	اتخاذ القرار
أثر استقلالية مجلس الإدارة في أداء الشركة : دليل من السعودية	الإدارة_والسياسات_العامة	إدارة الأداء ومؤشرات الأداء
أثر الإبداع الإداري في العلاقة بين إستراتيجيات إدارة المعرفة التنظيمي والفعالية التنظيمية للوزارات	الإدارة_والسياسات_العامة	الإبداع والإبتكار
أثر الإبداع الإداري في العلاقة بين إستراتيجيات إدارة المعرفة التنظيمي والفعالية التنظيمية للوزارات	الإدارة_والسياسات_العامة	إدارة المعرفة
أثر الإبداع الإداري في العلاقة بين إستراتيجيات إدارة المعرفة التنظيمي والفعالية التنظيمية للوزارات	الإدارة_والسياسات_العامة	التنظيم
أثر الإعلان الأخضر على الوعي البيئي، وسلوك المستهلك تجاه المنتجات الخضراء : دراسة تطبيقية على عينةٍ من أعضاء هيئة التدريس بجامعة شقراء.	الإدارة_والسياسات_العامة	البيئة
أثر الإعلان الأخضر على الوعي البيئي، وسلوك المستهلك تجاه المنتجات الخضراء : دراسة تطبيقية على عينةٍ من أعضاء هيئة التدريس بجامعة شقراء.	الإدارة_والسياسات_العامة	التعليم
أثر التحول من تطبيق معايير المحاسبة السعودية إلى المعايير الدولية للتقرير المالي على مهنة المراجعة	الإدارة_والسياسات_العامة	المراجعة
أثر الذكاء العاطفي للقادة على مراحل عملية التخطيط الإستراتيجي : دراسة تطبيقية على كليات إدارة الأعمال	الإدارة_والسياسات_العامة	القيادة
أثر الذكاء العاطفي للقادة على مراحل عملية التخطيط الإستراتيجي : دراسة تطبيقية على كليات إدارة الأعمال	الإدارة_والسياسات_العامة	الإدارة الإستراتيجية
